id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
813640070361665090,The front room w/ TV and king size bed,116935236,1462910582703398538,F S,,THIRTEENTH WARD,42.67144,-73.79033,Private room,63,5,24,2026-06-14,0.69,5,360,7,
816085193659797849,Cozy Apartment across the Park,37769478,1465565296852923022,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,153,1,59,2026-05-17,1.44,16,311,19,
821566342267452838,COMFY Room/w Private BATH + TV,177073982,1463066913788605267,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,13,90,3,2023-11-30,0.07,2,294,0,
826301775871257033,2 br apt 2 min walk to albanymed offstreet parking,484673863,1463812301581155362,Michaela,,NINTH WARD,42.655006189125345,-73.77570156008005,Entire home/apt,236,1,80,2026-06-06,1.98,3,355,45,
831122937768017113,Boho-Chic Cape Conveniently Located,210596861,1469098760288323827,Craig,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,363,2,140,2026-06-14,3.52,1,321,35,
841524382518312215,Mellow Cove,462042479,1470081562273400334,Natasha,,SIXTH WARD,42.66008,-73.76977,Entire home/apt,137,3,6,2024-07-09,0.18,2,362,0,
841524433909352403,Cozy Cove Away From Home,462042479,1470081562273400334,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,137,3,12,2023-12-03,0.33,2,357,0,
843481456379840308,Center Square Serenity: 2-Bedroom Elegance,188679144,1468977843653292721,Elizabeth,,SIXTH WARD,42.65483,-73.76353,Entire home/apt,114,14,2,2023-09-04,0.05,11,364,0,
845960193409947556,Modern Cottage-Perfect for Families!,268741708,1469420371084299171,Antoinette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,587,1,160,2026-06-01,4.07,1,134,44,
846586211673806912,Spacious Home Away from Home!,49372011,1465752744052885633,Philip,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,266,2,21,2026-05-17,0.54,2,173,2,
849460179246794510,Your luxury home away from home,1761578,1462577741228520078,Grant,,SIXTH WARD,42.65432,-73.76531,Entire home/apt,236,3,2,2025-02-17,0.07,2,233,0,
850173470105833039,Stunning Guest Suite in Historic 1874 Row House,120815848,1468228525761219525,Phat,,SECOND WARD,42.6446,-73.75885,Private room,160,1,233,2026-06-14,5.99,1,330,57,
850653820133738660,"Plum room, private queen near Albany Med, UAlbany",20536619,1462613529423158163,Emily,,THIRTEENTH WARD,42.67177,-73.79464,Private room,97,4,18,2026-02-13,0.51,13,75,2,
857981934159027424,Updated Historic Brownstone Apt.,60293220,1466741239795455187,David,,THIRD WARD,42.65817,-73.74935,Entire home/apt,137,3,30,2026-05-25,0.80,3,339,8,
870457209918967324,Quiet Room Near Everything,177073982,1463066913788605267,Cristian,,FOURTEENTH WARD,42.66128,-73.80548,Private room,13,90,4,2024-03-02,0.12,2,203,0,
881231954286264195,ParkSouth Brickhouse 1 Bedroom,37769478,1465565296852923022,Erion,,SIXTH WARD,42.65379,-73.76901,Entire home/apt,144,1,31,2026-05-17,0.81,16,356,11,
882229561343619620,Modern / Downtown Albany 1 BR APT,512736975,1470305963298869838,Miguelino,,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,124,1,79,2026-04-19,2.10,2,206,16,
887167811237271928,The Comfort II,459472925,1470068859259063426,Gabriel,,THIRD WARD,42.66246,-73.76576,Private room,49,7,32,2025-11-07,0.87,2,364,5,
887179061681202083,The Comfort,459472925,1470068859259063426,Gabriel,,THIRD WARD,42.6628771,-73.76534029999999,Private room,50,7,30,2025-06-08,0.80,2,312,0,
888859204851381094,Walk to Downtown Albany: Ten Broeck Triangle Apt!,121680792,1468235421089255785,Evolve,,THIRD WARD,42.6573,-73.7521,Entire home/apt,190,2,19,2026-05-31,0.51,4,354,3,
898743867240851780,"Airy 5Br-2Ba,Kids Rm, 6TVs,Pvt Fence-yard&Parking!",516414095,1470323148780791004,Rashawn,,TENTH WARD,42.66087,-73.78655,Entire home/apt,307,2,66,2026-06-07,1.81,1,245,13,
902166216060824525,2 bdrm Modern & Hip Apt w/ Patio,47625981,1462707263288165799,Linda,,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,257,1,65,2026-05-30,1.78,16,182,15,
902326803627859755,"""The LEO Home"" Private Bedroom 4",349460842,1469695254081708328,Scott,,TENTH WARD,42.66174,-73.78325,Private room,46,30,2,2026-04-13,0.36,21,325,2,
904392960639597224,/Luxury Modern Western Hideout\,4259750,1462534529294832741,Peter,,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,196,1,23,2025-12-14,0.63,8,264,4,
905007131419044966,*The Red House* 4 Bedrooms•Beautifully Renovated,349460842,1469695254081708328,Scott,,TENTH WARD,42.66217,-73.78299,Entire home/apt,300,1,108,2026-06-01,3.03,21,352,40,
916983723755256572,Luxury apartment near Saint Peter / Albany Med,283643924,1469486022042258531,Joe,,FOURTEENTH WARD,42.65872,-73.79555,Entire home/apt,73,28,7,2026-03-06,0.20,1,273,3,
917510613914219375,"R&R | Hospitals, Colleges + Politics",6203319,1462700523222803714,Melissa,,TENTH WARD,42.66261,-73.79158,Private room,92,1,18,2026-02-15,0.50,2,36,8,
919055506310955442,Room for rent,502751555,1470260288284691464,Grace,,FIFTH WARD,42.67292,-73.7776,Private room,107,1,0,,,1,364,0,
921076441920995839,Work hard! Play hard!,521669673,1470347340308191612,Kody,,THIRD WARD,42.6586,-73.75743,Entire home/apt,103,7,3,2024-12-21,0.09,4,268,0,
928948908785846870,Newly Renovated Gem in Melrose - Pet Friendly,441054845,1469990977034908433,Thaddeus,,THIRTEENTH WARD,42.67066,-73.79571,Entire home/apt,,2,96,2026-05-03,2.72,2,0,27,
932642358896439621,Stylish top floor apt w/parking,232967878,1468802372405829537,Diana,,THIRTEENTH WARD,42.67224,-73.79301,Entire home/apt,172,2,52,2026-05-16,1.47,14,10,11,
934035097653060273,Historic Washington Park Inn | Room 7 | Floor 2,493882819,1470223390787852349,Terra,,SIXTH WARD,42.65655,-73.77434,Private room,167,1,10,2026-05-16,0.28,6,178,2,
937837897631191844,Hudson 2 at The Argus Hotel,526358730,1470367137726823676,Argus,,SIXTH WARD,42.65867,-73.77479,Private room,174,1,3,2026-04-19,0.09,11,189,1,
937917144482762419,Hudson 3 ADA at The Argus Hotel,526358730,1470367137726823676,Argus,,TENTH WARD,42.65908,-73.77456,Private room,174,1,9,2025-08-02,0.26,11,147,2,
937927979762952955,Hudson 4 at The Argus Hotel,526358730,1470367137726823676,Argus,,TENTH WARD,42.66043,-73.77432,Private room,174,1,3,2025-07-10,0.14,11,188,1,
937935210290408974,Hudson 5 at The Argus Hotel,526358730,1470367137726823676,Argus,,SIXTH WARD,42.65847,-73.77272,Private room,174,1,7,2026-05-02,0.22,11,190,1,
937943638262956751,Whalen 1 Suite at The Argus Hotel,526358730,1470367137726823676,Argus,,SIXTH WARD,42.65908,-73.77326,Private room,292,1,4,2026-03-01,0.13,11,182,2,
937959604296602771,Whalen 2 Deluxe at The Argus Hotel,526358730,1470367137726823676,Argus,,TENTH WARD,42.66003,-73.7732,Private room,280,1,2,2026-03-05,0.19,11,184,2,
937966967490420635,Whalen 3 at The Argus Hotel,526358730,1470367137726823676,Argus,,SIXTH WARD,42.65857,-73.7744,Private room,241,1,0,,,11,185,0,
938260134617291567,Whalen 4 at The Argus Hotel,526358730,1470367137726823676,Argus,,SIXTH WARD,42.65893,-73.77448,Private room,241,1,0,,,11,187,0,
938266199766701429,Knickerbocker 1 The Argus Hotel,526358730,1470367137726823676,Argus,,TENTH WARD,42.66037,-73.77327,Private room,241,1,0,,,11,190,0,
