id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,availability_category,review_activity,host_type
53567589,Private Garden Apt in Downtown Albany|Pets Allowed,433096110,Brian,SIXTH WARD,42.65204,-73.76655,Entire home/apt,177.0,1.0,308,2026-06-07,5.61,4,89,39,Low availability,High review activity,Multi-listing host
53645427,★ BEAUTIFUL  2 BED 2 BATH  w/ SOAKER TUB + W/D★,47625981,Linda,FOURTH WARD,42.65913,-73.74722,Entire home/apt,269.0,1.0,144,2026-05-24,2.62,16,178,24,Medium availability,High review activity,Multi-listing host
53860077,/ Sauna Garden Getaway\ 1943 SUNY Eagle Hill,4259750,Peter,FIFTEENTH WARD,42.674675,-73.822861,Entire home/apt,701.0,1.0,62,2026-05-26,1.2,8,356,22,High availability,High review activity,Multi-listing host
54126420,Pine Hills Stay 1 Bedroom,37769478,Erion,TENTH WARD,42.66261,-73.79026,Entire home/apt,146.0,1.0,124,2026-05-24,2.54,16,248,19,High availability,High review activity,Multi-listing host
54126421,Beautiful 2 BDR Apartment in the heart of Albany,37769478,Erion,SIXTH WARD,42.65422,-73.76996,Entire home/apt,183.0,1.0,82,2026-05-31,1.59,16,325,13,High availability,High review activity,Multi-listing host
54126427,Beautiful 1 bedroom In the heart of Albany,37769478,Erion,SIXTH WARD,42.65403,-73.77056,Entire home/apt,173.0,1.0,192,2026-04-01,3.55,16,337,56,High availability,High review activity,Multi-listing host
54369238,"Cozy townhouse, close to hospital, free parking!",152762198,Allen,NINTH WARD,42.65578,-73.78641,Entire home/apt,144.0,3.0,87,2026-05-17,1.92,9,219,29,High availability,High review activity,Multi-listing host
54369240,Lovely 1 bedroom rental close to Alb Med!,152762198,Allen,TENTH WARD,42.65905,-73.77964,Entire home/apt,137.0,3.0,66,2026-03-13,1.33,9,319,9,High availability,High review activity,Multi-listing host
559249822516788574,Cozy 1 bedroom with office and luxurious King size,433884293,Uniah,NINTH WARD,42.66062,-73.79112,Entire home/apt,95.0,5.0,2,2023-06-26,0.04,1,363,0,High availability,Low review activity,Single-listing host
588298411730694861,Modern one bedroom with free off street parking,353498132,Michael,SECOND WARD,42.64441,-73.75647,Entire home/apt,108.0,13.0,17,2026-03-01,0.35,6,166,3,Medium availability,Medium review activity,Multi-listing host
593272120497643087,Jesse's Suite @ The Historic Jesse Buel House,382970529,Thomas,THIRTEENTH WARD,42.66911,-73.79869,Private room,124.0,1.0,157,2026-05-03,3.25,12,3,31,Low availability,High review activity,Multi-listing host
617242073954595468,Iconic City Center Apt in Downtown | Pets Allowed,433096110,Brian,SIXTH WARD,42.65353,-73.7679,Entire home/apt,177.0,1.0,242,2026-06-15,4.84,4,91,63,Medium availability,High review activity,Multi-listing host
619695112394148331,Modern luxury one bedroom with off street parking,353498132,Michael,SECOND WARD,42.64489,-73.75731,Entire home/apt,152.0,13.0,12,2026-02-20,0.25,6,282,2,High availability,Medium review activity,Multi-listing host
628163387057233327,★SPACIOUS 1BR Apt w/ Character 10ft Ceilings W/D!★,47625981,Linda,SECOND WARD,42.64528,-73.75861,Entire home/apt,208.0,1.0,66,2026-05-29,1.35,16,189,9,High availability,High review activity,Multi-listing host
628824127129967353,Clean lines and accessible Convenient Location!,7164949,Jordan,THIRD WARD,42.66169974831227,-73.76466827605744,Private room,94.0,3.0,0,,0.0,1,88,0,Low availability,No reviews,Single-listing host
649973892551492641,Modern luxury studio with free off street parking,353498132,Michael,SECOND WARD,42.64625,-73.75663,Entire home/apt,216.0,14.0,8,2024-11-26,0.17,6,166,0,Medium availability,Low review activity,Multi-listing host
658638185191740358,CHEERFULL 3 BEDROOM HOME WITH FREE PARKING.,466389096,Patrice,FIRST WARD,42.6374547,-73.7716647,Entire home/apt,214.0,5.0,5,2023-09-22,0.1,2,357,0,High availability,Low review activity,Multi-listing host
662132809952482192,Beautiful 4 bedroom house Large eat in kitchen,466389096,Patrice,FIRST WARD,42.6378819,-73.7715269,Entire home/apt,176.0,7.0,2,2024-08-12,0.04,2,365,0,High availability,Low review activity,Multi-listing host
689719338468663432,"Elegant, spacious studio apt in historic mansion",1717342,David,SIXTH WARD,42.65405765037151,-73.76071299629517,Entire home/apt,149.0,1.0,348,2026-05-29,7.47,2,315,80,High availability,High review activity,Multi-listing host
692807914756117019,Relax in Style by Washington Park - Free Parking,67337944,Rabia,ELEVENTH WARD,42.6623,-73.777,Entire home/apt,84.0,31.0,103,2025-02-23,2.44,1,166,0,Medium availability,High review activity,Single-listing host
699073700185633508,"Historic Gem, Fireplace,2BR/2BA,Capitol District",476189412,Timothy,SECOND WARD,42.6468502,-73.7587258,Entire home/apt,436.0,2.0,10,2026-03-22,0.22,3,122,5,Medium availability,Low review activity,Multi-listing host
703551649845095095,Cozy Albany Home,3650672,Zuhair,THIRTEENTH WARD,42.67075,-73.79704,Entire home/apt,290.0,2.0,6,2025-12-24,0.26,1,160,2,Medium availability,Low review activity,Single-listing host
704544922160063127,Cozy 1 Bedroom Apt in desirable Albany locale,58406953,Nicholas,THIRTEENTH WARD,42.67485,-73.79867,Entire home/apt,145.0,3.0,9,2026-01-28,0.2,1,162,6,Medium availability,Low review activity,Single-listing host
705660262559003663,Luxurious one bedroom with off-street parking,353498132,Michael,SECOND WARD,42.64577,-73.7583,Entire home/apt,232.0,13.0,10,2025-09-28,0.24,6,166,2,Medium availability,Low review activity,Multi-listing host
717373135846408345,Charming Central Escape | 2BR + Parking,232967878,Diana,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,228.0,2.0,75,2026-05-15,1.69,14,65,10,Low availability,High review activity,Multi-listing host
735879623743921266,Modern & Homey 1BD/1BA Fl 1 Apt @ Downtown Albany,44434571,Earl Vanze,THIRD WARD,42.64564,-73.75261,Entire home/apt,155.0,1.0,114,2026-05-26,2.58,11,357,33,High availability,High review activity,Multi-listing host
736893992132754814,Lovely private room in center square for $700/mo,77367219,Elizabeth,SIXTH WARD,42.65643,-73.76402,Private room,30.0,30.0,3,2024-10-05,0.07,1,319,0,High availability,Low review activity,Single-listing host
737574278276037589,4 bed all on one floor,232967878,Diana,TENTH WARD,42.66069,-73.78555,Entire home/apt,403.0,1.0,46,2025-03-02,1.05,14,66,0,Low availability,Medium review activity,Multi-listing host
739722503092755616,Adirondack Suite #1,98744672,Bela,NINTH WARD,42.6543178,-73.7818222,Private room,86.0,2.0,47,2026-04-09,1.06,8,324,9,High availability,Medium review activity,Multi-listing host
744430701454304507,"1 Bedroom on Lincoln Park, near Lark and Downtown",65414985,James,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,147.0,2.0,47,2026-05-25,1.22,2,355,16,High availability,Medium review activity,Multi-listing host
756752556396798800,Private Room in the Center of the Albany,69729286,Musab,SIXTH WARD,42.65259,-73.76732,Private room,55.0,20.0,22,2026-05-05,0.52,2,241,4,High availability,Medium review activity,Multi-listing host
757342235277207834,Elegant Studio in Center Square,188679144,Elizabeth,SIXTH WARD,42.65534,-73.76461,Entire home/apt,104.0,7.0,15,2026-02-15,0.35,11,312,1,High availability,Medium review activity,Multi-listing host
